blist_genes_no_vers
ENSG00000237297
ENSG00000260370
ENSG00000233832
ENSG00000228755
ENSG00000150760
ENSG00000213147
ENSG00000213543
ENSG00000225899
ENSG00000230468
ENSG00000233435
ENSG00000237635
ENSG00000274599
ENSG00000275610
ENSG00000276046
ENSG00000276164
ENSG00000276904
ENSG00000276964
ENSG00000277274
ENSG00000278641
ENSG00000278664
ENSG00000278761
ENSG00000278790
ENSG00000279626
ENSG00000280337
ENSG00000282875
ENSG00000288107
ENSG00000177951
ENSG00000188076
ENSG00000222225
ENSG00000224777
ENSG00000230724
ENSG00000253826
ENSG00000254468
ENSG00000255229
ENSG00000270921
ENSG00000070047
ENSG00000183020
ENSG00000184956
ENSG00000198788
ENSG00000129744
ENSG00000133805
ENSG00000255823
ENSG00000283813
ENSG00000169519
ENSG00000110448
ENSG00000167987
ENSG00000131626
ENSG00000246889
ENSG00000054965
ENSG00000256148
ENSG00000087884
ENSG00000149262
ENSG00000165325
ENSG00000250519
ENSG00000187240
ENSG00000254824
ENSG00000109927
ENSG00000182667
ENSG00000255512
ENSG00000120645
ENSG00000226210
ENSG00000249054
ENSG00000256263
ENSG00000073614
ENSG00000120647
ENSG00000151067
ENSG00000047617
ENSG00000172572
ENSG00000256663
ENSG00000165966
ENSG00000155974
ENSG00000135144
ENSG00000196498
ENSG00000150991
ENSG00000241129
ENSG00000265345
ENSG00000256209
ENSG00000182870
ENSG00000256783
ENSG00000256875
ENSG00000279516
ENSG00000204918
ENSG00000204919
ENSG00000227151
ENSG00000229665
ENSG00000234278
ENSG00000206906
ENSG00000215398
ENSG00000257115
ENSG00000257171
ENSG00000257175
ENSG00000257356
ENSG00000257504
ENSG00000257558
ENSG00000257644
ENSG00000257672
ENSG00000257721
ENSG00000257731
ENSG00000257825
ENSG00000257959
ENSG00000258076
ENSG00000258233
ENSG00000258364
ENSG00000258367
ENSG00000283274
ENSG00000176294
ENSG00000187537
ENSG00000196143
ENSG00000212516
ENSG00000212612
ENSG00000222036
ENSG00000225210
ENSG00000228294
ENSG00000244306
ENSG00000257142
ENSG00000257162
ENSG00000257224
ENSG00000257310
ENSG00000257395
ENSG00000257432
ENSG00000257493
ENSG00000257635
ENSG00000257751
ENSG00000257846
ENSG00000257853
ENSG00000257884
ENSG00000257891
ENSG00000258027
ENSG00000258080
ENSG00000258265
ENSG00000258314
ENSG00000258324
ENSG00000258453
ENSG00000258781
ENSG00000259069
ENSG00000271632
ENSG00000273558
ENSG00000273639
ENSG00000274369
ENSG00000274649
ENSG00000274827
ENSG00000275563
ENSG00000276888
ENSG00000277128
ENSG00000277156
ENSG00000277252
ENSG00000277367
ENSG00000277529
ENSG00000277710
ENSG00000278143
ENSG00000278184
ENSG00000278301
ENSG00000278594
ENSG00000285990
ENSG00000286614
ENSG00000287515
ENSG00000100804
ENSG00000100813
ENSG00000139880
ENSG00000179933
ENSG00000222028
ENSG00000257842
ENSG00000258081
ENSG00000151413
ENSG00000151320
ENSG00000259045
ENSG00000129515
ENSG00000129518
ENSG00000206588
ENSG00000206596
ENSG00000259002
ENSG00000259135
ENSG00000279423
ENSG00000257614
ENSG00000258342
ENSG00000151338
ENSG00000258969
ENSG00000139915
ENSG00000248550
ENSG00000258592
ENSG00000119616
ENSG00000119682
ENSG00000222604
ENSG00000258733
ENSG00000042317
ENSG00000176473
ENSG00000258497
ENSG00000258404
ENSG00000185024
ENSG00000211890
ENSG00000211955
ENSG00000231475
ENSG00000253149
ENSG00000253491
ENSG00000253587
ENSG00000254203
ENSG00000254289
ENSG00000270474
ENSG00000270550
ENSG00000283607
ENSG00000180229
ENSG00000181984
ENSG00000182974
ENSG00000183706
ENSG00000185182
ENSG00000200790
ENSG00000207289
ENSG00000221641
ENSG00000223877
ENSG00000230031
ENSG00000233917
ENSG00000237161
ENSG00000238478
ENSG00000238489
ENSG00000239471
ENSG00000243059
ENSG00000247765
ENSG00000258397
ENSG00000258410
ENSG00000258415
ENSG00000258420
ENSG00000258488
ENSG00000258494
ENSG00000258585
ENSG00000258590
ENSG00000258628
ENSG00000258654
ENSG00000258684
ENSG00000258707
ENSG00000258710
ENSG00000258712
ENSG00000258721
ENSG00000258732
ENSG00000258767
